time,open,high,low,close,volume,tick_volume,real_volume,spread
2009-06-02 08:00:00,1.41422,1.41699,1.41012,1.41624,22306,22306,0,20
2009-06-02 12:00:00,1.41623,1.42822,1.41611,1.42568,26184,26184,0,20
2009-06-02 16:00:00,1.42568,1.43213,1.42453,1.4314,22555,22555,0,20
2009-06-02 20:00:00,1.4313799999999999,1.43308,1.4298199999999999,1.43068,9292,9292,0,20
2009-06-03 00:00:00,1.43066,1.4311099999999999,1.42719,1.42822,8544,8544,0,20
2009-06-03 04:00:00,1.42827,1.43285,1.42775,1.4304999999999999,10005,10005,0,20
2009-06-03 08:00:00,1.43052,1.43378,1.41763,1.42253,25754,25754,0,20
2009-06-03 12:00:00,1.42251,1.42687,1.41556,1.41741,26828,26828,0,20
2009-06-03 16:00:00,1.41731,1.42082,1.41159,1.4148100000000001,23188,23188,0,20
2009-06-03 20:00:00,1.41479,1.4163700000000001,1.41094,1.4144700000000001,11090,11090,0,20
2009-06-04 00:00:00,1.41448,1.4191099999999999,1.4135900000000001,1.41679,8685,8685,0,20
2009-06-04 04:00:00,1.41681,1.4184999999999999,1.41505,1.4169399999999999,11753,11753,0,20
2009-06-04 08:00:00,1.41697,1.424,1.41696,1.41888,22386,22386,0,20
2009-06-04 12:00:00,1.41889,1.41978,1.407,1.41351,25115,25115,0,20
2009-06-04 16:00:00,1.41349,1.42215,1.41279,1.41993,23828,23828,0,20
2009-06-04 20:00:00,1.41992,1.42047,1.41555,1.4175499999999999,10201,10201,0,20
2009-06-05 00:00:00,1.41758,1.42147,1.41614,1.41963,6667,6667,0,20
2009-06-05 04:00:00,1.41966,1.42092,1.41819,1.41916,12846,12846,0,20
2009-06-05 08:00:00,1.4192,1.4228100000000001,1.41692,1.41692,20298,20298,0,20
2009-06-05 12:00:00,1.41692,1.42665,1.40077,1.40247,28896,28896,0,20
2009-06-05 16:00:00,1.40251,1.40368,1.39718,1.39937,22450,22450,0,20
2009-06-05 20:00:00,1.39939,1.39974,1.39327,1.39673,8902,8902,0,20
2009-06-08 00:00:00,1.3943400000000001,1.40003,1.39258,1.39911,7132,7132,0,20
2009-06-08 04:00:00,1.3991,1.4001700000000001,1.39603,1.39603,6734,6734,0,20
2009-06-08 08:00:00,1.39605,1.39645,1.38039,1.38091,20691,20691,0,20
2009-06-08 12:00:00,1.38098,1.38909,1.38073,1.385,18981,18981,0,20
2009-06-08 16:00:00,1.38499,1.3918599999999999,1.38246,1.39045,19742,19742,0,20
