time,open,high,low,close,volume,tick_volume,real_volume,spread
2018-12-20 09:00:00,1246.87,1248.62,1246.37,1248.54,2989,2989,0,16
2018-12-20 10:00:00,1248.5,1250.25,1248.26,1249.39,1762,1762,0,15
2018-12-20 11:00:00,1249.39,1256.91,1249.29,1256.9,3275,3275,0,17
2018-12-20 12:00:00,1256.9,1257.04,1254.1,1255.9,3117,3117,0,15
2018-12-20 13:00:00,1255.9,1256.91,1254.79,1255.99,2215,2215,0,20
2018-12-20 14:00:00,1256.01,1256.7,1254.17,1254.42,2196,2196,0,16
2018-12-20 15:00:00,1254.42,1257.33,1253.48,1256.83,4142,4142,0,21
2018-12-20 16:00:00,1256.84,1261.36,1256.61,1259.37,5197,5197,0,15
2018-12-20 17:00:00,1259.28,1262.04,1255.31,1256.25,5115,5115,0,17
2018-12-20 18:00:00,1256.25,1260.17,1255.81,1260.03,4192,4192,0,15
2018-12-20 19:00:00,1260.05,1264.19,1259.14,1262.59,5128,5128,0,20
2018-12-20 20:00:00,1262.59,1265.27,1262.02,1264.37,3643,3643,0,15
2018-12-20 21:00:00,1264.37,1266.43,1261.16,1262.57,3703,3703,0,15
2018-12-20 22:00:00,1262.57,1263.94,1260.13,1260.92,2822,2822,0,15
2018-12-20 23:00:00,1260.92,1261.05,1259.62,1259.69,878,878,0,20
2018-12-21 01:00:00,1260.51,1261.97,1260.21,1261.96,603,603,0,24
2018-12-21 02:00:00,1261.86,1262.55,1261.25,1261.57,781,781,0,24
2018-12-21 03:00:00,1261.57,1261.68,1259.98,1260.98,970,970,0,24
2018-12-21 04:00:00,1260.98,1261.38,1259.88,1260.49,1259,1259,0,24
2018-12-21 05:00:00,1260.49,1260.73,1259.83,1260.27,879,879,0,24
2018-12-21 06:00:00,1260.17,1260.28,1258.97,1259.3,995,995,0,24
2018-12-21 07:00:00,1259.29,1259.81,1258.75,1259.34,845,845,0,24
2018-12-21 08:00:00,1259.34,1259.86,1258.64,1259.53,1190,1190,0,20
2018-12-21 09:00:00,1259.53,1261.65,1259.49,1261.41,2286,2286,0,19
2018-12-21 10:00:00,1261.38,1262.7,1259.16,1259.22,3026,3026,0,15
2018-12-21 11:00:00,1259.16,1259.48,1256.77,1257.41,3429,3429,0,15
2018-12-21 12:00:00,1257.45,1258.07,1256.08,1257.72,2576,2576,0,19
2018-12-21 13:00:00,1257.72,1260.73,1256.15,1260.12,2326,2326,0,19
2018-12-21 14:00:00,1260.11,1260.31,1258.96,1259.8,2199,2199,0,20
2018-12-21 15:00:00,1259.8,1262.09,1259.1,1260.76,3561,3561,0,19
2018-12-21 16:00:00,1260.76,1261.16,1257.89,1257.97,4298,4298,0,15
2018-12-21 17:00:00,1257.97,1259.64,1256.81,1259.11,5780,5780,0,15
2018-12-21 18:00:00,1259.08,1259.95,1256.81,1257.63,4233,4233,0,15
2018-12-21 19:00:00,1257.63,1257.93,1256.74,1257.05,1690,1690,0,15
2018-12-21 20:00:00,1257.05,1257.5,1253.85,1255.25,2869,2869,0,15
2018-12-21 21:00:00,1255.25,1256.43,1254.74,1255.36,1543,1543,0,16
2018-12-21 22:00:00,1255.36,1255.84,1254.77,1255.42,1262,1262,0,15
2018-12-21 23:00:00,1255.42,1255.9,1255.14,1255.38,685,685,0,22
2018-12-24 01:00:00,1258.48,1259.02,1257.89,1258.78,938,938,0,24
2018-12-24 02:00:00,1258.78,1261.12,1258.68,1260.51,994,994,0,21
2018-12-24 03:00:00,1260.51,1261.55,1260.13,1260.89,1263,1263,0,17
2018-12-24 04:00:00,1260.89,1263.89,1260.68,1263.89,1372,1372,0,15
2018-12-24 05:00:00,1263.88,1264.28,1263.23,1263.94,1073,1073,0,20
2018-12-24 06:00:00,1263.95,1264.26,1263.12,1263.95,1166,1166,0,15
2018-12-24 07:00:00,1263.99,1264.15,1262.75,1263.4,1116,1116,0,21
2018-12-24 08:00:00,1263.45,1263.61,1262.07,1262.99,1206,1206,0,21
2018-12-24 09:00:00,1262.99,1263.77,1262.52,1262.57,1615,1615,0,19
2018-12-24 10:00:00,1262.55,1265.31,1261.89,1263.46,2438,2438,0,15
2018-12-24 11:00:00,1263.47,1263.97,1261.5,1262.1,1669,1669,0,20
2018-12-24 12:00:00,1262.09,1262.51,1259.29,1260.02,1456,1456,0,21
2018-12-24 13:00:00,1260.03,1261.23,1259.77,1260.89,1826,1826,0,21
2018-12-24 14:00:00,1260.89,1263.11,1260.74,1262.31,2012,2012,0,15
2018-12-24 15:00:00,1262.31,1263.62,1261.45,1263.11,2893,2893,0,15
2018-12-24 16:00:00,1263.11,1266.79,1262.35,1266.29,3461,3461,0,15
2018-12-24 17:00:00,1266.25,1267.19,1264.99,1265.8,3465,3465,0,15
2018-12-24 18:00:00,1265.8,1268.47,1265.05,1267.91,2888,2888,0,15
2018-12-24 19:00:00,1267.97,1269.48,1267.27,1267.89,2000,2000,0,15
2018-12-24 20:00:00,1268.06,1269.75,1267.36,1268.3,471,471,0,24
2018-12-26 06:00:00,1272.38,1272.79,1272.15,1272.48,928,928,0,20
2018-12-26 07:00:00,1272.48,1273.49,1271.18,1272.83,1608,1608,0,16
2018-12-26 08:00:00,1272.81,1274.65,1272.69,1273.87,1641,1641,0,16
2018-12-26 09:00:00,1273.87,1274.01,1272.03,1272.92,1175,1175,0,15
2018-12-26 10:00:00,1272.92,1273.93,1271.55,1272.44,1166,1166,0,16
2018-12-26 11:00:00,1272.54,1273.09,1271.78,1272.65,1010,1010,0,21
