datetime,open,high,low,close,volume
2025-01-16 00:00:00,1.02946,1.03000,1.02847,1.02990,3488
2025-01-16 01:00:00,1.02991,1.02997,1.02876,1.02896,4587
2025-01-16 02:00:00,1.02896,1.02931,1.02848,1.02869,3355
2025-01-16 03:00:00,1.02868,1.02891,1.02846,1.02890,1663
2025-01-16 04:00:00,1.02889,1.02939,1.02853,1.02870,1596
2025-01-16 05:00:00,1.02870,1.02873,1.02808,1.02823,1988
2025-01-16 06:00:00,1.02824,1.02897,1.02822,1.02890,3114
2025-01-16 07:00:00,1.02890,1.03017,1.02860,1.02975,5792
2025-01-16 08:00:00,1.02976,1.03000,1.02878,1.02959,6271
2025-01-16 09:00:00,1.02959,1.02988,1.02816,1.02861,5539
2025-01-16 10:00:00,1.02861,1.02962,1.02828,1.02856,3773
2025-01-16 11:00:00,1.02856,1.02919,1.02840,1.02901,3857
2025-01-16 12:00:00,1.02901,1.02901,1.02640,1.02718,6108
2025-01-16 13:00:00,1.02718,1.02852,1.02604,1.02815,13801
2025-01-16 14:00:00,1.02815,1.02839,1.02678,1.02792,9160
2025-01-16 15:00:00,1.02792,1.03059,1.02741,1.03008,16168
2025-01-16 16:00:00,1.03008,1.03117,1.02858,1.03022,12103
2025-01-16 17:00:00,1.03022,1.03151,1.02944,1.02965,7050
2025-01-16 18:00:00,1.02965,1.03029,1.02934,1.03002,3291
2025-01-16 19:00:00,1.03002,1.03077,1.02976,1.03017,3183
2025-01-16 20:00:00,1.03017,1.03038,1.02971,1.03002,2084
2025-01-16 21:00:00,1.03002,1.03036,1.02968,1.02987,1271
2025-01-16 22:00:00,1.02958,1.03023,1.02956,1.03011,563
2025-01-16 23:00:00,1.03011,1.03043,1.03001,1.03014,730
2025-01-17 00:00:00,1.03008,1.03066,1.02980,1.03047,2171
2025-01-17 01:00:00,1.03047,1.03095,1.03014,1.03051,2353
2025-01-17 02:00:00,1.03051,1.03091,1.03030,1.03033,2270
2025-01-17 03:00:00,1.03033,1.03049,1.02997,1.03006,1397
2025-01-17 04:00:00,1.03006,1.03010,1.02919,1.02936,1500
2025-01-17 05:00:00,1.02937,1.02951,1.02874,1.02933,1724
2025-01-17 06:00:00,1.02933,1.02939,1.02851,1.02903,1895
2025-01-17 07:00:00,1.02903,1.02910,1.02774,1.02844,6116
2025-01-17 08:00:00,1.02845,1.02988,1.02841,1.02970,5483
2025-01-17 09:00:00,1.02969,1.03041,1.02892,1.02968,6331
2025-01-17 10:00:00,1.02971,1.03061,1.02965,1.03038,4216
2025-01-17 11:00:00,1.03038,1.03102,1.02989,1.03046,4315
2025-01-17 12:00:00,1.03046,1.03066,1.02903,1.02928,5820
2025-01-17 13:00:00,1.02928,1.02994,1.02854,1.02901,8372
2025-01-17 14:00:00,1.02901,1.03024,1.02652,1.02985,13312
2025-01-17 15:00:00,1.02985,1.03308,1.02954,1.02989,15171
2025-01-17 16:00:00,1.02989,1.03002,1.02815,1.02862,7294
