datetime,open,high,low,close,volume
2025-08-27 09:45:00,1.15915,1.15926,1.15898,1.15902,546
2025-08-27 10:00:00,1.15901,1.15925,1.15869,1.15876,561
2025-08-27 10:15:00,1.15878,1.15881,1.15828,1.15856,478
2025-08-27 10:30:00,1.15856,1.15859,1.15811,1.15827,530
2025-08-27 10:45:00,1.15822,1.15841,1.15787,1.15794,547
2025-08-27 11:00:00,1.15794,1.15881,1.15740,1.15863,757
2025-08-27 11:15:00,1.15869,1.15872,1.15822,1.15833,437
2025-08-27 11:30:00,1.15835,1.15897,1.15798,1.15805,666
2025-08-27 11:45:00,1.15805,1.15897,1.15800,1.15860,893
2025-08-27 12:00:00,1.15860,1.15941,1.15859,1.15930,644
2025-08-27 12:15:00,1.15932,1.15983,1.15916,1.15930,893
2025-08-27 12:30:00,1.15932,1.15955,1.15849,1.15859,1061
2025-08-27 12:45:00,1.15859,1.15944,1.15843,1.15865,1172
2025-08-27 13:00:00,1.15864,1.15990,1.15843,1.15973,1032
2025-08-27 13:15:00,1.15973,1.15973,1.15916,1.15934,879
2025-08-27 13:30:00,1.15939,1.15939,1.15851,1.15861,1087
2025-08-27 13:45:00,1.15860,1.16038,1.15851,1.15978,1505
2025-08-27 14:00:00,1.15979,1.16028,1.15911,1.15925,1100
2025-08-27 14:15:00,1.15926,1.15941,1.15858,1.15889,1003
2025-08-27 14:30:00,1.15887,1.15904,1.15821,1.15865,978
2025-08-27 14:45:00,1.15866,1.15984,1.15851,1.15924,1711
2025-08-27 15:00:00,1.15923,1.16092,1.15921,1.16076,1640
2025-08-27 15:15:00,1.16077,1.16086,1.16044,1.16077,851
2025-08-27 15:30:00,1.16076,1.16122,1.16049,1.16106,784
2025-08-27 15:45:00,1.16107,1.16114,1.16061,1.16107,722
2025-08-27 16:00:00,1.16108,1.16172,1.16106,1.16152,733
2025-08-27 16:15:00,1.16151,1.16197,1.16121,1.16197,606
2025-08-27 16:30:00,1.16196,1.16278,1.16185,1.16262,850
2025-08-27 16:45:00,1.16263,1.16407,1.16260,1.16381,1314
2025-08-27 17:00:00,1.16381,1.16428,1.16351,1.16377,1034
2025-08-27 17:15:00,1.16378,1.16409,1.16339,1.16343,640
2025-08-27 17:30:00,1.16343,1.16370,1.16325,1.16363,508
2025-08-27 17:45:00,1.16364,1.16396,1.16348,1.16376,457
2025-08-27 18:00:00,1.16377,1.16382,1.16277,1.16319,608
2025-08-27 18:15:00,1.16319,1.16355,1.16310,1.16343,487
2025-08-27 18:30:00,1.16342,1.16359,1.16298,1.16352,502
2025-08-27 18:45:00,1.16350,1.16350,1.16296,1.16306,562
2025-08-27 19:00:00,1.16305,1.16325,1.16290,1.16306,543
2025-08-27 19:15:00,1.16306,1.16326,1.16297,1.16325,532
2025-08-27 19:30:00,1.16326,1.16342,1.16297,1.16324,396
2025-08-27 19:45:00,1.16323,1.16351,1.16306,1.16337,426
2025-08-27 20:00:00,1.16338,1.16357,1.16317,1.16330,342
2025-08-27 20:15:00,1.16329,1.16350,1.16313,1.16350,280
2025-08-27 20:30:00,1.16348,1.16365,1.16343,1.16351,290
2025-08-27 20:45:00,1.16351,1.16390,1.16346,1.16381,331
2025-08-27 21:00:00,1.16324,1.16375,1.16304,1.16368,92
2025-08-27 21:15:00,1.16369,1.16369,1.16352,1.16363,96
2025-08-27 21:30:00,1.16365,1.16376,1.16354,1.16371,146
2025-08-27 21:45:00,1.16372,1.16376,1.16355,1.16355,212
2025-08-27 22:00:00,1.16369,1.16405,1.16357,1.16387,337
2025-08-27 22:15:00,1.16387,1.16406,1.16384,1.16405,244
2025-08-27 22:30:00,1.16406,1.16440,1.16400,1.16425,241
2025-08-27 22:45:00,1.16424,1.16438,1.16404,1.16435,234
2025-08-27 23:00:00,1.16437,1.16445,1.16424,1.16434,216
2025-08-27 23:15:00,1.16436,1.16447,1.16425,1.16440,237
2025-08-27 23:30:00,1.16441,1.16476,1.16432,1.16474,305
2025-08-27 23:45:00,1.16475,1.16477,1.16455,1.16476,236
2025-08-28 00:00:00,1.16477,1.16494,1.16424,1.16425,468
2025-08-28 00:15:00,1.16426,1.16454,1.16424,1.16447,382
2025-08-28 00:30:00,1.16447,1.16449,1.16427,1.16440,356
2025-08-28 00:45:00,1.16439,1.16457,1.16433,1.16454,517
2025-08-28 01:00:00,1.16455,1.16498,1.16448,1.16495,470
2025-08-28 01:15:00,1.16495,1.16504,1.16436,1.16455,401
2025-08-28 01:30:00,1.16455,1.16486,1.16412,1.16431,610
2025-08-28 01:45:00,1.16432,1.16451,1.16425,1.16451,425
2025-08-28 02:00:00,1.16452,1.16546,1.16445,1.16510,608
2025-08-28 02:15:00,1.16511,1.16541,1.16507,1.16516,462
2025-08-28 02:30:00,1.16517,1.16521,1.16480,1.16503,398
2025-08-28 02:45:00,1.16500,1.16536,1.16498,1.16527,334
2025-08-28 03:00:00,1.16528,1.16543,1.16506,1.16527,278
2025-08-28 03:15:00,1.16527,1.16529,1.16473,1.16477,343
2025-08-28 03:30:00,1.16478,1.16488,1.16434,1.16441,367
2025-08-28 03:45:00,1.16441,1.16455,1.16422,1.16430,368
2025-08-28 04:00:00,1.16430,1.16431,1.16394,1.16410,420
2025-08-28 04:15:00,1.16412,1.16434,1.16407,1.16418,296
2025-08-28 04:30:00,1.16417,1.16440,1.16404,1.16416,303
2025-08-28 04:45:00,1.16417,1.16419,1.16386,1.16398,324
